Area,Temperature,Vegetation,Latitude,Longitude,City
Hitech City,42,0.18,17.4435,78.3772,Hyderabad
Gachibowli,40,0.25,17.4401,78.3489,Hyderabad
Madhapur,41,0.22,17.4486,78.3915,Hyderabad
Kukatpally,39,0.32,17.4849,78.4138,Hyderabad
Secunderabad,38,0.40,17.4399,78.4983,Hyderabad
Banjara Hills,40,0.28,17.4126,78.4482,Hyderabad
Jubilee Hills,39,0.34,17.4326,78.4071,Hyderabad
Begumpet,40,0.27,17.4448,78.4661,Hyderabad
Miyapur,38,0.38,17.4969,78.3560,Hyderabad
LB Nagar,39,0.31,17.3457,78.5522,Hyderabad
Uppal,40,0.26,17.4058,78.5591,Hyderabad
Kondapur,41,0.24,17.4698,78.3656,Hyderabad
Manikonda,39,0.35,17.4062,78.3667,Hyderabad
Nallagandla,38,0.42,17.4687,78.3137,Hyderabad
Ameerpet,40,0.23,17.4375,78.4483,Hyderabad